City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,karratha,-20.7377,116.8463,26.28,61,0,4.73,AU,1702497224
96,port lincoln,-34.7333,135.8667,16.8,85,97,6.06,AU,1702497224
97,badarwas,24.9667,77.5667,14.45,47,67,1.86,IN,1702497224
98,bilibino,68.0546,166.4372,-24.8,98,100,2.08,RU,1702497224
99,ritchie,-29.038,24.6028,26.56,12,0,5.68,ZA,1702497224
100,minas de marcona,-15.2119,-75.1103,21.15,60,25,5.31,PE,1702497225
101,gizo,-8.103,156.8419,27.45,78,19,2.65,SB,1702497225
102,remire-montjoly,4.9167,-52.2667,31.02,70,20,5.14,GF,1702497225
103,huadian,42.9633,126.7478,-10.27,76,100,2.17,CN,1702497225
104,kharp,66.8014,65.8081,-15.4,92,100,2.52,RU,1702497225
105,jianshui,23.6363,102.8264,13.73,97,45,1.77,CN,1702497225
106,bangassou,4.7413,22.8184,20.51,52,76,0.25,CF,1702497225
107,ushuaia,-54.8,-68.3,9.79,57,75,10.29,AR,1702497225
108,margaret river,-33.95,115.0667,12.1,81,49,4.2,AU,1702497225
109,tsiombe,-25.3,45.4833,25.18,85,99,2.95,MG,1702497225
110,duluth,46.7833,-92.1066,2.32,54,0,3.6,US,1702497112
111,campina verde,-19.5356,-49.4864,37.25,23,34,1.21,BR,1702497226
112,yigo village,13.5361,144.8886,27.16,83,75,7.2,GU,1702497226
113,invercargill,-46.4,168.35,11.87,63,88,6.14,NZ,1702497226
114,katsuura,35.1333,140.3,12.83,62,95,1.91,JP,1702497226
115,tazacorte,28.629,-17.9293,22.3,32,0,4.12,ES,1702497226
116,atafu village,-8.5421,-172.5159,26.53,89,100,7.76,TK,1702497226
117,susuman,62.7833,148.1667,-26.12,100,100,1.34,RU,1702497226
118,luanda,-8.8368,13.2343,28.0,82,20,3.6,AO,1702497226
119,robore,-18.3333,-59.75,37.05,47,40,7.72,BO,1702497226
120,pariaman,-0.619,100.12,25.03,89,91,1.32,ID,1702497226
121,sitka,57.0531,-135.33,3.94,75,75,5.66,US,1702497227
122,sierra grande,-41.606,-65.3557,29.98,10,2,6.77,AR,1702497227
123,mancio lima,-7.6142,-72.8958,28.04,83,75,1.03,BR,1702497227
124,alice springs,-23.7,133.8833,20.75,46,41,1.03,AU,1702497115
125,ndelele,4.0333,14.9333,21.39,47,18,0.93,CM,1702497227
126,hami,42.8,93.45,-9.93,51,100,4.46,CN,1702497016
127,yuzhno-kurilsk,44.0306,145.8556,-2.57,69,100,13.14,RU,1702497227
128,vila franca do campo,37.7167,-25.4333,15.23,70,100,4.71,PT,1702497227
129,aktyubinskiy,54.8137,52.8056,-15.87,74,100,5.15,RU,1702497228
130,qaqortoq,60.7167,-46.0333,-15.18,64,19,4.88,GL,1702497228
131,vanino,49.0869,140.2543,-22.26,71,8,4.63,RU,1702497228
132,jijel,36.8205,5.7667,21.97,68,40,3.09,DZ,1702497228
133,farafangana,-22.8167,47.8333,24.94,88,96,3.25,MG,1702497228
134,santa elena de uairen,4.6167,-61.1333,25.87,64,100,1.85,VE,1702497228
135,sunne,59.8376,13.143,-4.82,96,29,1.65,SE,1702497228
136,mirante do paranapanema,-22.2919,-51.9064,35.67,28,3,2.96,BR,1702497228
137,mount gambier,-37.8333,140.7667,14.47,89,68,4.55,AU,1702497229
138,aasiaat,68.7098,-52.8699,-8.2,75,100,7.65,GL,1702497229
139,makoua,0.0069,15.6333,24.33,64,95,0.74,CG,1702497229
140,maqat,47.65,53.3167,-7.43,32,100,10.73,KZ,1702497229
141,khandyga,62.6667,135.6,-33.36,99,100,0.66,RU,1702497229
142,auki,-8.7676,160.7034,25.51,89,69,1.37,SB,1702497229
143,kokopo,-4.352,152.2633,25.28,88,39,2.68,PG,1702497229
144,crane,31.3974,-102.3501,12.79,94,100,7.82,US,1702497229
145,port elizabeth,-33.918,25.5701,18.51,90,20,5.66,ZA,1702497230
146,polyarnyy,69.1989,33.4478,-16.61,100,91,4.48,RU,1702497230
147,bamboo flat,11.7,92.7167,28.05,78,20,1.03,IN,1702497230
